You give 1/3 of a pan of brownies to Susan and 1/6 of the pan of brownies to Patrick. How much of the pan of brownies did you give away? ,Arithmetic,Addition,42737,,30
You go out for a long walk. You walk 3/4 mile and then sit down to take a rest. Then you walk 3/8 of a mile. How far did you walk altogether? ,Arithmetic,Addition,42986,,32
Pam walks 7/8 of a mile to school. Paul walks 1/2 of a mile to school. How much farther does Pam walk than Paul? ,Arithmetic,Subtraction,42802,,24
A school wants to make a new playground by cleaning up an abandoned lot that is shaped like a rectangle. They give the job of planning the playground to a group of students. The students decide to use 1/4 of the playground for a basketball court and 3/8 of the playground for a soccer field. How much is left for the swings and play equipment? ,Arithmetic,Other,42740,,
Marty made two types of cookies. He used 2/3 cup of sugar for one recipe and 1/4 cup of sugar for the other. How much sugar did he use in all? ,Arithmetic,Addition,42741,,31
Seven red apples and two green apples are in the basket. How many apples are in the basket?,Arithmetic,Addition,,,18
Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all? ,Arithmetic,Addition,,,27
Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy? ,Arithmetic,Addition,,,21
"I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read? ",Arithmetic,Addition,,,24
"In a school, there are 542 girls and 387 boys. How many pupils are there in that school? ",Arithmetic,Addition,,,18
Linda has 34 candies. Chloe has 28. How many candies do they have in all? ,Arithmetic,Addition,,,15
Jose has 28 chickens and 18 ducks. How many fowls does he have? ,Arithmetic,Addition,,,13
Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks? ,Arithmetic,Addition,,,18
Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all? ,Arithmetic,Addition,,,26
"There were 105 parents in the program and 698 pupils, too. How many people were present in the program? ",Arithmetic,Addition,,,19
"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold? ",Arithmetic,Addition,,,19
There are twelve (12) birds on the fence. Eight (8) more birds land on the fence. How many birds are on the fence? ,Arithmetic,Addition,,,23
Twenty-two (22) boys went down the slide. Thirteen (13) more boys went down the slide. How many boys went down the slide? ,Arithmetic,Addition,,,22
Thirteen (13) ducks are swimming in a lake. Twenty (20) more ducks come to join them. How many ducks are swimming in the lake? ,Arithmetic,Addition,,,24
Thirty (30) dogs are barking. Ten (10) more dogs start to bark. How many dogs are barking? ,Arithmetic,Addition,,,17
"Bobby ate twenty-six (26) pieces of candy. Then, he ate seventeen (17) more. How many pieces of candy did Bobby eat? ",Arithmetic,Addition,,,21
Sandy had twenty-six (26) pet fish. She bought six (6) more fish. How many pet fish does Sandy have now? ,Arithmetic,Addition,,,20
The clown blew up forty-seven (47) balloons. Then he blew up thirteen (13) more balloons. How many balloons does the clown have now? ,Arithmetic,Addition,,,23
Our class got fifty-four (54) books from the library. Then we got twenty- three (23) more books from the library. How many books did our class get from the library? ,Arithmetic,Addition,,,30
Tessa has 4 apples. Anita gave her 5 more. She needs 10 apples to make a pie. Does she have enough to make a pie? ,Arithmetic,Addition,,,25
Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday. How many kids did she play with altogether? ,Arithmetic,Addition,,,24
Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now? ,Arithmetic,Addition,,,24
