Type02,Single,ADD,NULL,NULL,72
බෙනීගේ උසස් පාසල මේ වසරේ බේස්බෝල් ක්‍රීඩා 39 ක් ක්‍රීඩා කළේය. ඔහු ක්‍රීඩා 14 කට සහභාගි විය. බෙනීට බේස්බෝල් ක්‍රීඩා කීයක් මඟ හැරුණිද?,Single,SUB,NULL,NULL,25
ලාච්චුවේ කතුරු 54 ක් ඇත. කීත් තවත් කතුරු 22 ක් ලාච්චුවේ තැබුවේය. දැන් කතුරු කීයක් තිබේද?,Single,ADD,NULL,NULL,76
ඇලිසා පෙයාර්ස් 42 ක් ද නැන්සි පෙයාර්ස් ගසෙන් පෙයාර්ස් 17 ක් ද තෝරා ගත්හ. පෙයාර්ස් ගණන කීයද,Single,ADD,NULL,NULL,59
සෑම්ට ඔහුගේ බැංකුවේ රුපියල් 9800 ක් තිබුණි. ඔහු තම රුපියල් 9300 ක් වියදම් කළේය. ඔහුට දැන් රුපියල් කීයක් ඉතිරිද,Single,SUB,NULL,NULL,500
එලේනිගේ වයස අවුරුදු x කි. අවුරුදු දහතුනකින් ඇයට වයස අවුරුදු විසිහතරකි. එලේනිගේ දැන් වයස කියද,Single,SUB,NULL,NULL,11
බඳුනක රෝස මල් 6 ක් විය. මේරි ඇගේ මල් වත්තෙන් රෝස මල් කිහිපයක් කපයි. දැන් බඳුනක රෝස මල් 16 ක් ඇත. ඇය රෝස මල් කීයක් කපුවාද?,Single,ADD,NULL,NULL,10
බාබරා කඩයට ගොස් ඩොලර් 88 කට කමිසයක් මිලදී ගත්තේය. එය 20% කින් වට්ටම් කර තිබුණි. කමිසයේ මුල් මිල කුමක්ද?,Single,MUL,NULL,NULL,110
ඩොල්ෆින් පැයකට මාළු හතක් අනුභව කරයි. ඩොල්ෆින් මසුන් 56 ක් අනුභව කරන තෙක් පැය කීයක් තිබේද,Single,DIV,NULL,NULL,8
ඩොලර් 20 ක වට්ටමක් ලබා ගැනීමෙන් පසු පාරිභෝගිකයෙකු කෝපි සාදන්නෙකුට ඩොලර් 50 ක් ගෙවයි. කෝපි සාදන්නාගේ මුල් මිල කුමක්ද?,Single,SUB,NULL,NULL,70
ට්‍රේසිට වඩා ලියා අවුරුදු 2 ක් වැඩිමල්ය. ගැහැණු ළමයින් දෙදෙනාගේ වයස අවුරුදු 10 කි. ට්‍රේසිගේ වයස කීයද?,Single,ADD,NULL,NULL,4
ජේන් සපත්තු සඳහා ඩොලර් 42 ක් වියදම් කළේය. මෙය ඇය බ්ලවුස් සඳහා වියදම් කළ මුදල මෙන් දෙගුණයකට වඩා ඩොලර් 14 ක් අඩුය බ්ලවුස් එක කොපමණ ද?,Double,MUL,SUB,NULL,28
පුවරුවක දිග තවත් පුවරුවක දිගට වඩා අඟල් 10 ක් අඩු විය. පුවරු දෙකම අඟල් 20 කි. පුවරු වල දිග සොයන්න,Double,ADD,SUB,NULL,5
අඛණ්ඩව නිඛිල 3 කින් (පේළියක සංඛ්‍යා) අවම හා විශාලතම සංඛ්‍යා වල එකතුව 60. අවම නිඛිල සංඛ්‍යාවේ අගය කීයද?,Double,MUL,ADD,NULL,29
යම්  සංඛ්‍යාවක පස් ගුණයකින් 28ක්  අඩු වූ විට අගය  232 වේ.  සංඛ්‍යාව කුමක්ද?,Double,MUL,SUB,NULL,52
ට්‍රේසිට වඩා ලියා අවුරුදු 2 ක් වැඩිමල්ය. ගැහැණු ළමයින් දෙදෙනාගේ වයස අවුරුදු 10 කි. ට්‍රේසිගේ වයස කීයද?,Double,ADD,ADD,NULL,4
"නිමාලි , සචිනිට වඩා අවුරුදු 7 ක් බාලය. ඒවායේ එකතුව වයස අවුරුදු 35 කි. සචිනිගෙ වයස කීයද",Double,ADD,SUB,NULL,21
ක්‍රිස්ටිනාගේ ආච්චි ක්‍රිස්ටිනාට වඩා 12 ගුණයක් වයසය. ඔවුන් දෙදෙනාගේ වයස අවුරුදු 91 කි. ආච්චිගෙ වයස කීය,Double,MUL,SUB,NULL,7
"ජේන් සපත්තු සඳහා ඩොලර් 42 ක් වියදම් කළේය. මෙය ඇය බ්ලවුස් සඳහා වියදම් කළ මුදල මෙන් දෙගුණයකට වඩා ඩොලර් 14 ක් අඩුය බ්ලවුස් එක කොපමණ ද?"",",Double,MUL,SUB,NULL,28
සිසුන් 50 දෙනෙකුගෙන් යුත් පන්තියක් කණ්ඩායම් දෙකකට බෙදා ඇත; එක් කණ්ඩායමකට අනෙක් කණ්ඩායමට වඩා අටක් අඩු ය. එක් කණ්ඩායමක කී දෙනෙක් සිටීද?,Double,ADD,SUB,NULL,29
"ඉලක්කම් දෙකක එකතුව 72 ක් වන අතර, ඉන් එකක් අනෙක  මෙන්  පස් ගුණයක් වේ. කුඩා අංකය කුමක්ද",Double,MUL,ADD,NULL,12
