රෙදි සෝදන යන්ත්රයක් සහ වියළන යන්ත්රයක් සඳහා ඩොලර් 600 ක් වැය වේ. රෙදි සෝදන යන්ත්රය වියළන යන්ත්රයේ මිල මෙන් 3 ගුණයක් වේ. වියළන යන්ත්රයේ පිරිවැය කුමක්ද?,Type01,,,u1+u2=n1,n2*u2=u1,,x+y=600,3*y=x
උද්‍යාන මේසයක් සහ බංකුවක් ඩොලර් 750 ක්  වේ. උද්‍යාන මේසයේ මිල බංකුවේ මිල මෙන් දෙගුණය කි. බංකුවේ පිරිවැය කුමක්ද?,Type01,,,u1+u2=n1,n2*u2=u1,,x+y=750,2*y =x
"විශාල සංඛ්‍යාවක් තවත් කුඩා සංඛ්‍යාවක් මෙන් දෙගුණයක් වන අතර, . ඒවායේ එකතුව 96 වේ. කුඩා සංඛ්‍යාව හා විශාල සංඛ්‍යාවන් සොයා ගන්න.",Type01,,,u1+u2=n1,n2*u2=u1,,x+y=96,2*x=y
සාප්පුවක දුඹුරු සපත්තු මෙන් දෙගුණයක් කළු සපත්තු  ඇත. මුළු සපත්තු සංඛ්‍යාව 66 කි. දුඹුරු සපත්තු හා කළු සපත්තු වෙන වෙනම කීයක් තිබේද?,Type01,,,u1+u2=n2,(n1*u1)=u2,,x+y=66,2*x =y
"ගොවියෙක් අශ්වයන් මෙන් 5 ගුණයක් ගවයින් ඇති දැඩි කරයි. ඔහුට ගවයින් හා අශ්වයන් 168 ක් සිටී නම් , ඔහුට සිටින ගවයින් හා අශ්වයින් කීයක් සිටීද?",Type01,,,u1+u2=n2,(n1*u1)=u2,,x+y=168,5*y=x
පියුමි සතුව තැපැල්පත් 30 ක් ඇත. ඇය සතුව කුඩා තැපැල්පත් මෙන් 4 ගුණයක් විශාල තැපැල්පත් තිබේ. ඇය සතුව කුඩා තැපැල්පත්  ගණන හා විශාල තැපැල්පත් ගණන සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=30,4*x=y
ශ්‍රීමා මහත්මියගේ පන්තියේ ළමයින් 24 දෙනෙක් සිටිති. පිරිමි ළමයින්ට මෙන් දෙගුණයක් ගැහැණු ළමයින් ඇත. පිරිමි ළමයින් හා ගැහැණු ළමයින් කී දෙනෙක් සිටීද?,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=24,2*x=y
පුස්තකාලයක  පොත්  2400 ක් ඇත. එහි අධ්‍යාපන පොත්  මෙන් දෙගුණයක් නවකතා පොත්  ඇත. පුස්තකාලයෙහි ඇති  අධ්‍යාපන පොත් ගණන හා නවකතා  පොත් ගණන වෙන වෙනම සොයන්න.,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=2400,2*x=y
"නිමාලි සතුව නිල් පෑන්  මෙන් 3 ගුණයක් රතු පෑන් ඇත. ඇය සතුව ඇති මුලු පෑන් 20 ක් නම්, නිල්  පෑන්  සහ රතු පෑන් ගණන වෙන වෙනම සොයන්න ",Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=20,3*x=y
"පාත්තියක  රෝස මල් මෙන් දෙගුණයක් ඕකිඩ් මල්  ඇත. පාත්තියේ ඇති මුලු මල් ගණන 42 ක් නම්, රෝස මල්  සහ ඕකිඩ් මල්  ගණන වෙන වෙනම සොයන්න ",Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=42,2*x=y
ශෙහානි සතුව ගවුම්  හා බ්ලවුස් 18 ක් ඇත. ඇය සතුව ගවුම් මෙන් දෙගුණයක් බ්ලවුස්  ඇත. ශෙහානිට  ඇති  ගවුම් ගණන හා බ්ලවුස්  ගණන වෙන වෙනම සොයන්න.,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=18,2*x=y
පන්තියක ළමයින් 35 ක් ඇත. එහි ගැහැණු ළමුන්  මෙන් 4 ගුණයක් පිරිමි ළමුන් සිටියි. පන්තියේ සිටින ගැහැණු ළමුන්   ගණන හා පිරිමි ළමුන් ගණන සොයන්න ,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=35,4*x=y
 පෙට්ටියක රතු බෝල හා සුදු  බෝල  27 ක් ඇත. එහි  රතු බෝල  මෙන් 2 ගුණයක් සුදු බෝල ඇත. පෙට්ටියේ ඇති රතු බෝල  සහ සුදු බෝල ගණන සොයන්න ,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=27,2*x=y
ධාන්‍ය ගබඩාවක ධාන්‍ය ගෝනි  21ක් ඇත. එහි  කඩල ගෝනි  මෙන් 2 ගුණයක් කවුපි ගෝනි  ඇත. ගබඩාවෙහි ඇති කඩල ගෝනි  සහ කවුපි ගෝනි  ගණන සොයන්න ,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=21,2*x=y
"ටීනා කඩේට ගොස් විශාල බෑගයකට සහ  කුඩා බෑගයකට  බඩු රැගෙන ආ අතර ,  දෙකෙහිම බර එකතුව 12 kg වේ. කුඩා බෑගය මෙන් 3 ගුණයක් විශාල බෑගය  බරය. බෑග්  වල බර වෙන වෙනම සොයන්න.",Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=12,3*x=y
"පාසල් බෑගයක මිල  අත් බෑගයක මිල  මෙන් 2 ගුණයකි. පාසල් බෑගයක සහ අත් බෑගයක  මිල රුපියල් 3300 ක් වේ නම් , පාසල් බෑගයක  හා අත් බෑගයක මිල වෙන වෙනම සොයන්න",Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=3300,2*x=y
නිශාන් සතුව ඇති රුපියල් 5 සහ රුපියල් 10 මුද්දර ගණන 64 ක් ඇත. ඔහු සතුව රුපියල් 5 මුද්දර මෙන් 7 ගුණයක්  රුපියල් 10 මුද්දර ඇත. රු 5 මුද්දර ගණන හා රු 10 මුද්දර  ගණන වෙන වෙනම සොයන්න ,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=64,7*x=y
රුවනි ට මිතුරන් හා මිතුරියන්  20 ක් සිටියි. මිතුරන් ගණන මෙන් 3 ගුණයක් මිතුරියන් ඇයට සිටියි. රුවනිට සිටින මිතුරන් හා මිතුරියන් ගණන වෙන වෙනම  සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=20,3*x=y
කසුනි ගෙ උපන් දින සාදයේදි පාට දෙකකින් බැලුන් තිබූ අතර මුලු  බැලුන් ගණන 25 කි. එහි කොල පාට බැලුන් මෙන් 4 ගුණයක්  නිල් පාට බැලුන් තිබුණි. කොල පාට බැලුන් ගණන හා නිල් පාට බැලුන් ගණන වෙන වෙනම සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=25,4*x=y
ශීතකරණයක දොඩම් ගෙඩි සහ ඇපල් ගෙඩි 24 ක් ඇත. එහි දොඩම් ගෙඩි ගණන මෙන් 3 ගුණයක් ඇපල් ගෙඩි ඇත. දොඩම් ගෙඩි ගණන සහ ඇපල් ගෙඩි ගණන වෙන වෙනම සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=24,3*x=y
ගෙවත්තක වසා සිටි ගිරවුන් සහ මයිනන් ගණන 16 කි. එහි මයිනන් මෙන් 3 ගුණයක් ගිරවුන් සිටියහ. ගෙවත්තෙහි සිටි ගිරවුන් සහ මයිනන් ගණන වෙන වෙනම සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=16,3*x=y
"ගොවියෙකු තක්කාලි සහ මිරිස් වගා කරන අතර ඔහු මෙවර තක්කාලි සහ මිරිස් බීජ 300 ක් පැල කරයි. පැල කරන ලද මිරිස් බීජ ගණන, තක්කාලි බීජ ගණන මෙන් 4 ගුණයකි. එක් එක් බීජ වල ගණන වෙන වෙනම සොයන්න",Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=300,4*x=y
මල් කඩයක දවස අවසානයේ මල් වර්ග දෙකකින් මල් 56 ක් ඉතිරිවී තිබුණි. ඉන් එක් මල් වර්ගයක මෙන් 6 ගුණයක් අනෙක් මල් වර්ගයෙන් ඉතිරි වී තිබුනි. එක් එක් මල් වර්ගයෙන් ඉතුරු වී තිබු මල් ගණන වෙන  වෙනම සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=56,6*x=y
රමේෂ් බැංකු ගිණුමක් ආරම්භ කළ අතර එහි දෙවරක් මුදල් තැම්පත් කලේය. ඔහු  පළමු වර තැම්පත් කල මුදල මෙන් 3 ගුණයක් දෙවන වර තැම්පත් කලේය.  බැංකු ගිණුමේ තිබු මුලු මුදල 12000 නම් එක් එක් වර තැම්පත් කරන ලද මුදල සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=12000,3*x=y
ගෘහ භාණ්ඩ අලෙවි සැලක මේසයක සහ පුටුවක මිල 65000 කි. මේසයේ මිල පුටුවක මිල මෙන් 4 ගුණයකි. මේසයක සහ පුටුවක මිල වෙන වෙනම සොයන්න,Type01,,,u1+u2=n2,(n1*u1)=u2,,x +y=65000,4*x=y
